"NAME","PREFAB_PATH__C","CATEGORY__C","COST__C","POWER_CONSUMPTION__C","WATER_CONSUMPTION__C","CARBON_FOOTPRINT__C","DESCRIPTION__C","CLIMATE_SPECIFIC__C","MODEL_VARIATIONS__C"
"Bed","Furniture/Bed","Furniture","200.0","0.0","0.0","0.0","A single bed.","true","2.0"
"Cot","Furniture/Cot","Furniture","50.0","0.0","0.0","0.0","For a baby up to 2 years old.","false","1.0"
"Bunk Bed","Furniture/BunkBed","Furniture","100.0","0.0","0.0","0.0","A bunk bed. Can hold 2 people.","true","2.0"
"Chair","Furniture/Chair","Furniture","30.0","0.0","0.0","0.0","Single person chair.","false","1.0"
"School Desk","Furniture/SchoolDesk","Furniture","40.0","0.0","0.0","0.0","School desk for 1 person.","false","1.0"
"Sofa 1 Seat","Furniture/Sofa_1Seat","Furniture","150.0","0.0","0.0","0.0","Sofa for 1 person.","false","1.0"
"Lamp Tall","Furniture/LampTall","Furniture","10.0","20.0","0.0","0.0","Tall lamp.","false","1.0"
"Sofa 3 Seats","Furniture/Sofa_3Seats","Furniture","250.0","0.0","0.0","0.0","Sofa for 3 people.","false","1.0"
"Outdoor Table 4 Seats","Exterior/OutdoorTable4Seat","Exterior","150.0","0.0","0.0","0.0","Outdoor table for 4 people.","false","1.0"
"Garden Fence","Exterior/GardenFenceLong","Exterior","50.0","0.0","0.0","0.0","Fence","false","1.0"
"Drawing Desk","Furniture/DrawingDeskAndStool","Furniture","40.0","0.0","0.0","0.0","Drawing desk.","false","1.0"
"Sofa 2 Seats","Furniture/Sofa_2Seats","Furniture","200.0","0.0","0.0","0.0","Sofa for 2 people.","false","1.0"
"Garden Lamp","Exterior/GardenLamp","Exterior","10.0","50.0","0.0","0.0","Lamp for outdoors.","false","1.0"
"Tennis Table","Exterior/TableTennis","Exterior","90.0","0.0","0.0","0.0","Table tennis play equipment.","false","1.0"
"Book Case","Furniture/BookCase","Furniture","50.0","0.0","0.0","0.0","Case for books.","false","1.0"
"Study Desk","Furniture/StudyDesk","Furniture","60.0","0.0","0.0","0.0","Desk for studying.","false","1.0"
"Sink and Unit","Furniture/SinkAndUnit","Furniture","100.0","0.0","0.0","0.0","Sink","false","1.0"
"Outdoor Table 2 Benches","Exterior/OutdoorTable","Exterior","100.0","0.0","0.0","0.0","Outdoor table for 4 people.","false","1.0"
"Playpen","Furniture/Playpen","Furniture","30.0","0.0","0.0","0.0","Safe play area for young children.","false","1.0"
"High Chair","Furniture/HighChair","Furniture","20.0","0.0","0.0","0.0","high chair for infants.","false","1.0"
"Table 8 Persons","Furniture/Table8p","Furniture","0.0","0.0","0.0","0.0","Table for 8 people","false","1.0"
"Radiator","Furniture/Radiator","Exterior","40.0","0.0","0.0","0.0","Radiator for warmth.","false","1.0"
"Table 6 Persons","Furniture/Table6p","Furniture","120.0","0.0","0.0","0.0","Table for 6 people.","false","1.0"
"Tinker Cube","https://www.dropbox.com/s/cny57kimf5r6dbe/tinkercad-bundle?dl=1","Custom","1.0","0.0","0.0","0.0","A sample object created in Tinkercad","false","1.0"
"Corner Sofa","Furniture/CornerSofa","Furniture","180.0","0.0","0.0","0.0","Corner sofa for 3 people.","false","1.0"
"Table 4 Persons","Furniture/Table4p","Furniture","90.0","0.0","0.0","0.0","Table for 4 people.","false","1.0"
"Trampoline","Exterior/Trampoline","Exterior","50.0","0.0","0.0","0.0","Play equipment for jumping.","false","1.0"
"TV","Furniture/TV","Furniture","30.0","0.0","0.0","0.0","Television.","false","1.0"
"Office Chair","Furniture/OfficeChair","Furniture","20.0","0.0","0.0","0.0","Office chair for 1 person.","false","1.0"
"Wind Turbine","Exterior/WindTurbine","Exterior","900.0","-1000.0","0.0","0.0","A wind turbine is a device that converts the wind's energy into electrical power.","false","1.0"
"Antenna","Exterior/Antenna","Exterior","200.0","300.0","0.0","0.0","Allows to receive phone, TV, radio and Internet signal.","false","1.0"
"Solar Panel","Exterior/SolarPanel","Exterior","400.0","-3000.0","0.0","0.0","Solar panel refers to a panel designed to absorb the sun's rays as a source of energy for generating electricity or heating.","false","1.0"
"Double Bed","Furniture/DoubleBed","Furniture","140.0","0.0","0.0","0.0","A large bed for two people.","true","1.0"
"Water Tank","Exterior/WaterTank1000L","Exterior","70.0","0.0","-1000.0","0.0","A tank that stores water.","false","1.0"
"Fan","Furniture/GroundFan","Furniture","10.0","100.0","0.0","0.0","Fan to keep cool","false","1.0"
